Cod_SBS,Cod_Emp,Tipo_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
2010266646,10000,10,91,4,16130609000,019100,0000,0,91416130609000
2010078584,60000,10,98,1,13020000000,043670,0000,0,98113020000000
2011352571,10000,40,88,4,24100000000,000000,0000,0,88424100000000
2011352571,10000,40,88,1,18011201000,000000,0000,0,88118011201000
2011352571,10000,40,88,4,14051100000,000000,0000,0,88414051100000
2011352571,10000,10,88,4,14100000000,000000,0000,0,88414100000000
2011352571,10000,10,88,4,14020102000,001950,0000,0,88414020102000
2011352571,10000,40,88,1,18011202000,000000,0000,0,88118011202000
2011352571,10000,40,88,4,14020900000,000000,0000,0,88414020900000
2011352571,10000,10,81,4,11120602000,000000,0000,0,81411120602000
2011352571,10000,40,81,4,11121100000,000000,0000,0,81411121100000
2011352571,10000,10,88,1,18011201000,000000,0000,0,88118011201000
2011352571,10000,10,82,9,11020100000,000000,0000,0,82911020100000
2011352571,10000,10,88,4,14051100000,000000,0000,0,88414051100000
2011352571,10018,40,88,4,24020102000,000000,0000,0,88424020102000
2011352571,10000,10,88,4,24020102000,001950,0000,0,88424020102000
2011352571,10000,40,81,4,11120602000,000000,0000,0,81411120602000
2011352571,10000,40,81,4,18120000000,000000,0000,0,81418120000000
2011352571,10000,10,81,4,18120000000,000000,0000,0,81418120000000
2011352571,10000,10,88,1,18011202000,000000,0000,0,88118011202000
2012191816,10000,41,01,6,12030100000,000000,0000,0,01612030100000
2012191816,10000,41,01,6,12030200000,000000,0000,0,01612030200000
2012191816,10000,41,01,6,19020000000,000000,0000,0,01619020000000
2012191816,10000,41,08,1,13020000000,002100,0000,0,08113020000000
2010241136,60000,11,08,1,13020000000,032520,0000,0,08113020000000
2012759886,00000,11,07,2,15060200000,000000,0000,0,07215060200000
2013636113,90000,61,07,2,15060200000,000000,0000,0,07215060200000
2009677605,50000,10,81,4,18120000000,000000,0000,0,81418120000000
2009677605,50000,60,81,4,11120602000,000000,0000,0,81411120602000
2009677605,50000,10,88,1,19371201000,000000,0000,0,88119371201000
2009677605,50000,60,88,4,14051100000,000000,0000,0,88414051100000
2009677605,50000,10,88,4,14051100000,000000,0000,0,88414051100000
2009677605,50000,10,88,1,18011201000,000000,0000,0,88118011201000
2009677605,50000,10,88,4,24020102000,004480,0000,0,88424020102000
2009677605,50000,10,81,4,11120602000,000000,0000,0,81411120602000
2009677605,50000,10,88,1,18011202000,000000,0000,0,88118011202000
2009677605,50000,60,81,4,18120000000,000000,0000,0,81418120000000
2009677605,50000,10,82,9,11020100000,000000,0000,0,82911020100000
2009677605,50000,60,88,4,14100000000,000000,0000,0,88414100000000
2009677605,50000,60,88,1,18011201000,000000,0000,0,88118011201000
2009677605,50000,60,88,1,18011202000,000000,0000,0,88118011202000
2009677605,50000,10,88,4,14100000000,000000,0000,0,88414100000000
2016346072,60000,11,07,2,15060200000,000000,0000,0,07215060200000
2014540128,30000,11,08,1,18010202000,000000,0000,0,08118010202000
2014540128,30000,11,01,4,11020602000,000000,0000,0,01411020602000
2014540128,30000,11,08,4,14051100000,000000,0000,0,08414051100000
2014540128,30000,11,01,4,18020000000,000000,0000,0,01418020000000
2014540128,30000,11,08,1,18010201000,000000,0000,0,08118010201000
2014540128,30000,11,07,2,15060200000,000000,0000,0,07215060200000
2014540128,30000,11,08,4,24090000000,000000,0000,0,08424090000000
2011255071,20000,10,98,1,13020000000,036270,0000,0,98113020000000
2012355670,40000,11,01,4,11020400000,000000,0000,0,01411020400000
2010770306,30000,10,81,4,18120000000,000000,0000,0,81418120000000
2010770306,30008,20,81,4,11120602000,000000,0000,0,81411120602000
2010770306,30008,20,88,4,14020800000,009430,0000,0,88414020800000
2010770306,30018,50,81,4,21120602000,000000,0000,0,81421120602000
2010770306,30018,50,88,4,24100000000,000000,0000,0,88424100000000
2010770306,30008,20,82,9,11020100000,000000,0000,0,82911020100000
2010770306,30005,50,88,4,24100000000,000000,0000,0,88424100000000
2010770306,30008,20,81,4,18120000000,000000,0000,0,81418120000000
2010770306,30018,50,81,4,28120000000,000000,0000,0,81428120000000
2010770306,30018,50,88,4,24020900000,000000,0000,0,88424020900000
2010770306,30008,20,88,4,24100000000,000000,0000,0,88424100000000
2010770306,30000,10,81,4,11120200000,000000,0000,0,81411120200000
2010770306,30008,20,88,1,19371201000,000000,0000,0,88119371201000
2010770306,30000,60,87,2,15061200000,000000,0000,0,87215061200000
2010770306,30018,50,88,1,29371201000,000000,0000,0,88129371201000
2010770306,30008,20,88,4,14020800000,000000,0000,0,88414020800000
2010770306,30018,40,88,4,24020900000,000000,0000,0,88424020900000
2010770306,30018,40,88,4,24020800000,000000,0000,0,88424020800000
2010770306,30008,20,88,4,24020102000,006870,0000,0,88424020102000
2010770306,30018,50,81,4,29120500000,000000,0000,0,81429120500000
2010770306,30008,20,88,1,18011201000,000000,0000,0,88118011201000
2010770306,30008,20,88,4,14051100000,000000,0000,0,88414051100000
2010770306,30008,20,81,4,11121100000,000000,0000,0,81411121100000
2010770306,30018,50,88,4,24090000000,000000,0000,0,88424090000000
2010770306,30000,10,87,2,15061200000,000000,0000,0,87215061200000
